document_id,title,publisher,publish_date,region,level,document_type,url
P20210101,国家综合立体交通网规划纲要,中共中央 国务院,2021-02-24,全国,central,规划纲要,https://www.gov.cn/zhengce/2021-02/24/content_5588654.htm
P20230601,无人驾驶航空器飞行管理暂行条例,国务院 中央军委,2023-06-28,全国,central,行政法规,https://www.caac.gov.cn/XXGK/XXGK/FLFG/202401/t20240115_222642.html
P20240301,通用航空装备创新应用实施方案（2024—2030年）,工业和信息化部等,2024-03-27,全国,central,行动方案,https://www.wehdz.gov.cn/2022/ztzl_75799/dkjjfw/zcfg/202411/P020241115633268699027.pdf
P20240401,高质量建设低空飞行服务保障体系,中国民用航空局,2024-04-09,全国,central,行业政策解读,https://www.caac.gov.cn/XWZX/MHYW/202404/t20240409_223438.html
P20240501,广东省推动低空经济高质量发展行动方案（2024—2026年）,广东省人民政府办公厅,2024-05-21,广东,province,行动方案,https://www.thnet.gov.cn/zjth/tzth/tzzc/sszc/content/post_9836185.html
P20240502,武汉市支持低空经济高质量发展若干措施,武汉市人民政府,2024-05-22,湖北武汉,city,扶持措施,https://www.wuhan.gov.cn/zwgk/xxgk/zfwj/gfxwj/202406/t20240607_2413516.shtml
P20240601,关于支持全省低空经济高质量发展的若干政策措施,湖南省人民政府办公厅,2024-06-18,湖南,province,扶持措施,https://www.hunan.gov.cn/xxgk/wjk/szfbgt/202406/t20240618_33329751.html
P20240701,湖北省加快低空经济高质量发展行动方案（2024—2027年）,湖北省发展和改革委员会,2024-07-18,湖北,province,行动方案,https://fgw.hubei.gov.cn/fbjd/zc/gfwj/gf/202408/t20240806_5293686.shtml
P20240801,关于支持低空经济产业发展的若干措施,河北雄安新区党工委管委会党政办公室,2024-08-01,河北雄安,city,扶持措施,https://www.xiongan.gov.cn/2024-08/28/c_1212392051.htm
P20240901,重庆市推动低空空域管理改革促进低空经济高质量发展行动方案（2024—2027年）,重庆市人民政府办公厅,2024-09-21,重庆,province,行动方案,https://www.cq.gov.cn/zwgk/zfxxgkml/szfwj/qtgw/202409/t20240926_13663171.html
P20240902,北京市促进低空经济产业高质量发展行动方案（2024—2027年）,北京市经济和信息化局等,2024-09-30,北京,province,行动方案,https://jxj.beijing.gov.cn/zwgk/2024zcwj/202409/t20240930_3909804.html
P20241001,南通市低空经济高质量发展行动方案（2024—2027年）,南通市人民政府办公室,2024-10-10,江苏南通,city,行动方案,https://www.nantong.gov.cn/ntsrmzf/szfbwj/content/f6d67b3b-25c0-4b89-83f1-3794a28f3812.html
P20241002,广州市推动低空经济高质量发展若干措施,广州市人民政府办公厅,2024-07-05,广东广州,city,扶持措施,https://www.gz.gov.cn/zwgk/fggw/sfbgtwj/content/post_9743866.html
P20241003,深圳经济特区低空经济产业促进条例,深圳市人民代表大会常务委员会,2024-01-03,广东深圳,city,地方性法规,https://www.szrd.gov.cn/v2/zx/szfg/content/post_1123253.html
P20241101,湛江市推动低空经济高质量发展行动方案（2024—2026年）,湛江市人民政府办公室,2024-09-22,广东湛江,city,行动方案,https://www.zhanjiang.gov.cn/zwgk/zfgb/2024/7/content/post_1981685.html
P20241201,青浦区低空经济产业高质量发展行动方案（2024—2027年）,上海市青浦区人民政府办公室,2024-12-31,上海青浦,district,行动方案,https://www.shanghai.gov.cn/nw12344/20250113/2ee66eeb1de74208a604101ab98e15f0.html
P20251201,低空经济及其核心产业统计分类（试行）,国家发展改革委,2025-12-22,全国,central,统计分类,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402669.html
P20260201,关于推动低空保险高质量发展的实施意见,国家发展改革委等,2026-02-12,全国,central,实施意见,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202602/t20260212_1403717.html
