event_id,document_id,event_date,event_type,actor,region,policy_level,policy_tools,targets,direction,intensity,uncertainty,novelty,evidence_span,confidence,extraction_method,review_status,information_trade_date
E-P20210101-01,P20210101,2021-02-24,strategic_plan,中共中央 国务院,全国,central,"[""airspace_reform"", ""infrastructure"", ""technology_innovation"", ""talent"", ""finance_insurance"", ""safety_regulation""]","[""aircraft_manufacturing"", ""operation_service"", ""infrastructure"", ""supporting_service""]",positive,5,1,3,加强交通运输与现代农业、生产制造、商贸金融等跨行业合作，发展交通运输平台经济、枢纽经济、通道经济、低空经济。,0.6,rule_baseline,pending_human_review,2021-02-25
E-P20230601-01,P20230601,2023-06-28,regulation,国务院 中央军委,全国,central,"[""airspace_reform"", ""infrastructure"", ""talent"", ""finance_insurance"", ""safety_regulation""]","[""aircraft_manufacturing"", ""operation_service"", ""infrastructure"", ""supporting_service""]",mixed,5,1,3,"真高120米以上空域，空中禁区、空中限制区以及周边空域，军用航空超低空飞行空域，以及下列区域上方的空域应当划设为管制空域：
（一）机场以及周边一定范围的区域；",0.6,rule_baseline,pending_human_review,2023-06-29
E-P20240301-01,P20240301,2024-03-27,strategic_plan,工业和信息化部等,全国,central,"[""airspace_reform"", ""infrastructure"", ""industry_support"", ""technology_innovation"", ""application_scenario"", ""talent"", ""finance_insurance"", ""safety_regulation""]","[""aircraft_manufacturing"", ""operation_service"", ""infrastructure"", ""supporting_service""]",positive,5,1,3,"通用航空装备创新应用实施方案
（2024-2030 年）
发展通用航空制造业，加快通用航空装备创新应用，是
塑造航空工业发展新动能新优势、推动低空经济发展的重要
举措，是加快制造强国、交通强国建设的必然要求。",0.6,rule_baseline,pending_human_review,2024-03-28
E-P20240401-01,P20240401,2024-04-09,other,中国民用航空局,全国,central,"[""airspace_reform"", ""infrastructure"", ""talent"", ""safety_regulation""]","[""aircraft_manufacturing"", ""operation_service"", ""infrastructure"", ""supporting_service""]",positive,5,1,3,低空飞行服务保障体系是低空经济发展的基础，必须加快推进低空飞行服务保障体系建设，努力为低空经济发展提供有力支撑。,0.6,rule_baseline,pending_human_review,2024-04-10
E-P20240501-01,P20240501,2024-05-21,strategic_plan,广东省人民政府办公厅,广东,province,"[""fiscal_subsidy"", ""airspace_reform"", ""infrastructure"", ""industry_support"", ""technology_innovation"", ""application_scenario"", ""talent"", ""finance_insurance"", ""safety_regulation""]","[""aircraft_manufacturing"", ""operation_service"", ""infrastructure"", ""supporting_service""]",positive,4,2,3,"广东省人民政府办公厅
2024年5月21日
（本文有删减）
广东省推动低空经济高质量发展行动方案
（2024—2026年）
低空经济是指以民用有人驾驶和无人驾驶航空器在低空空域内的各类飞行活动为牵引，辐射带动相关领域融合发展的综合经济形态。",0.6,rule_baseline,pending_human_review,2024-05-22
E-P20240502-01,P20240502,2024-05-22,support_measure,武汉市人民政府,湖北武汉,city,"[""fiscal_subsidy"", ""airspace_reform"", ""infrastructure"", ""industry_support"", ""technology_innovation"", ""talent"", ""finance_insurance"", ""safety_regulation""]","[""aircraft_manufacturing"", ""operation_service"", ""supporting_service""]",positive,3,3,3,"中国政府网
湖北省政府网
中文
|
ENGLISH
|
FRANÇAIS
|
日本語
|
한국어
|
DEUTSCH
个人中心
|
无障碍
|
长者版
搜索
热搜词：
首页
政务公开
政务服务
政民互动
走进武汉
数据开放
2413516
市人民政府关于印发武汉市支持低空经济高质量发展若干措施的通知
20
2024-06-07
26212
规范性文件
信息公开
/
法定主动公开
/
政府文件
/
规范性文件
市人民政府关于印发武汉市支持低空经济高质量发展若干措施的通知
索引号：
K28044908/2024-14583
发文机构：
武汉市人民政府
发文字号：
武政规〔2024〕8号
主题分类：
综合政务
成文日期：
2024年05月22日
发布日期：
2024年06月07日
各区人民政府，市人民政府各部门：
经研究，现将《武汉市支持低空经济高质量发展的若干措施》印发给你们，请认真遵照执行。",0.6,rule_baseline,pending_human_review,2024-05-23
E-P20240601-01,P20240601,2024-06-18,support_measure,湖南省人民政府办公厅,湖南,province,"[""fiscal_subsidy"", ""airspace_reform"", ""infrastructure"", ""industry_support"", ""technology_innovation"", ""application_scenario"", ""talent"", ""finance_insurance""]","[""aircraft_manufacturing"", ""operation_service"", ""infrastructure"", ""supporting_service""]",positive,4,2,3,"湖南省人民政府办公厅
2024年6月13日
（此件主动公开）
关于支持全省低空经济高质量发展的若干政策措施
为贯彻落实省委、省人民政府将低空经济培育成为战略性新兴产业的决策部署，结合我省实际，制定以下政策措施。",0.6,rule_baseline,pending_human_review,2024-06-19
E-P20240801-01,P20240801,2024-08-01,support_measure,河北雄安新区党工委管委会党政办公室,河北雄安,city,"[""fiscal_subsidy"", ""airspace_reform"", ""infrastructure"", ""technology_innovation"", ""application_scenario"", ""talent"", ""finance_insurance"", ""safety_regulation""]","[""aircraft_manufacturing"", ""operation_service"", ""infrastructure"", ""supporting_service""]",positive,3,3,3,"河北雄安新区党工委管委会党政办公室
2024年8月1日
（此件公开发布）
关于支持低空经济产业发展的若干措施
为抢抓低空经济产业密集创新和高速增长的战略机遇，加快形成低空经济融合发展新质生产力，塑造经济发展新动能新优势，推动雄安新区低空经济产业高质量发展，提出如下措施。",0.6,rule_baseline,pending_human_review,2024-08-02
E-P20240901-01,P20240901,2024-09-21,strategic_plan,重庆市人民政府办公厅,重庆,province,"[""airspace_reform"", ""infrastructure"", ""industry_support"", ""technology_innovation"", ""application_scenario"", ""talent"", ""finance_insurance"", ""safety_regulation""]","[""aircraft_manufacturing"", ""operation_service"", ""infrastructure"", ""supporting_service""]",positive,4,2,3,"重庆市人民政府办公厅
2024年9月21日
（此件公开发布）
重庆市推动低空空域管理改革
促进低空经济高质量发展行动方案
（2024—2027年）
为全面贯彻党中央、国务院关于深化低空空域管理改革、促进低空经济发展的决策部署，认真落实中央空中交通管理委员会关于深化低空空域管理改革的系列要求，探索构建军地民一体化协同管理低空空域资源新模式，开发建设以北斗应用为支撑的低空经济发展基础设施体系，促进全市低空经济高质量发展，结合我市实际，制定本行动方案。",0.6,rule_baseline,pending_human_review,2024-09-23
E-P20240902-01,P20240902,2024-09-30,strategic_plan,北京市经济和信息化局等,北京,province,"[""airspace_reform"", ""infrastructure"", ""industry_support"", ""technology_innovation"", ""application_scenario"", ""talent"", ""finance_insurance"", ""safety_regulation""]","[""aircraft_manufacturing"", ""operation_service"", ""infrastructure"", ""supporting_service""]",positive,4,2,3,"首页
>
政务公开
>
政策文件
[主题分类]
综合政务/政务公开
[制发单位]
北京市经济和信息化局
[实施日期]
2024-09-30
[成文日期]
2024-09-30
[发文字号]
京经信发〔2024〕54
〔〕
号
[失效日期]
[发布日期]
2024-09-30
[有效性]
现行有效
北京市经济和信息化局等四部门关于印发《北京市促进低空经济产业高质量发展行动方案（2024-2027年）》的通知
【字体：
大
中
小
】
打印
各有关单位：
为推动本市低空经济产业高质量发展，加快低空产业技术创新，探索低空经济新业态新模式，北京市经济和信息化局等四部门制定了《北京市促进低空经济产业高质量发展行动方案（2024-2027年）》，现予以印发，请结合实际认真贯彻落实。",0.6,rule_baseline,pending_human_review,2024-10-08
