event_id,art_code,ts_code,name,event_date,event_type,direction,relevance_score,domain_hits,title,evidence_span,event_chain_id,is_progress_update,confidence,extraction_method,review_status,eligible_for_labeling
C-AN202101041446887823,AN202101041446887823,002111.SZ,威海广泰,2021-01-04,other_business,positive,0.05,[],威海广泰:关于与特殊客户签订装备订购合同的公告,"2、2020 年公司已累计签订特殊合同金额为 17.90 亿元（包含本合同），比 2019
年累计签订特殊合同和中标特殊项目金额 12.93 亿元增长 38.43%（说明：2020 年
数据为签订合同金额，2019 年数据包含签订合同和中标的金额，因此同口径计算
增长超过 38.43%）。",5cc9dbceb22108,False,0.55,rule_baseline,pending_human_review,False
C-AN202101031446691057,AN202101031446691057,002111.SZ,威海广泰,2021-01-04,other_business,positive,0.05,[],威海广泰:关于产品销售的关联交易的公告,"4．本次交易事项未构成《上市公司重大资产重组管理办法》规定的重大资产重组，
无需经过有关部门批准。",641568d95b0635,False,0.55,rule_baseline,pending_human_review,False
C-AN202101031446689684,AN202101031446689684,002708.SZ,光洋股份,2021-01-04,project_investment,positive,0.22999999999999998,[],光洋股份:关于完成收购威海世一电子有限公司和威海高亚泰电子有限公司各100%股权的公告,"股票代码：002708     股票简称：光洋股份      编号：（2021）001号


              常州光洋轴承股份有限公司

          关于完成收购威海世一电子有限公司和

       威海高亚泰电子有限公司各100%股权的公告

  本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚假记载、误

导性陈述或重大遗漏。",280d92635f773a,False,0.55,rule_baseline,pending_human_review,False
C-AN202101041447156182,AN202101041447156182,300101.SZ,振芯科技,2021-01-04,legal_safety_risk,negative,0.22999999999999998,[],振芯科技:关于控股股东诉讼事项进展的公告,本次诉讼事项目前取得一审判决，对于公司控制权认定不构成实质性的影响。,3a8ff0e6cd7afd,True,0.55,rule_baseline,pending_human_review,False
C-AN202012311445696507,AN202012311445696507,600038.SH,中直股份,2021-01-04,project_investment,positive,1.0,"[""直升机""]",600038:中航直升机股份有限公司关于中国航空科技工业股份有限公司以发行内资股方式收购事项完成的公告,"证券代码：600038     证券简称：中直股份    公告编号:2021-001



              中航直升机股份有限公司
       关于中国航空科技工业股份有限公司
      以发行内资股方式收购事项完成的公告


   本公司董事会及全体董事保证本公告内容不存在任何虚假记载、
误导性陈述或者重大遗漏，并对其内容的真实性、准确性及完整性承
担个别及连带责任。",8db8d3b0a1db26,False,0.55,rule_baseline,pending_human_review,True
C-AN202012311445759057,AN202012311445759057,600118.SH,中国卫星,2021-01-04,other_business,positive,0.05,[],600118:中国东方红卫星股份有限公司关于变更信息披露媒体及投资者联系方式的公告,"证券代码：600118                股票简称：中国卫星              编号：临 2021-001

                中国东方红卫星股份有限公司
   关于变更信息披露媒体及投资者联系方式的公告
   本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述
或者重大遗漏，并对其内容的真实性、准确性和完整性承担个别及连带责任。",10f843bd5807ec,False,0.55,rule_baseline,pending_human_review,False
C-AN202101041446940189,AN202101041446940189,000099.SZ,中信海直,2021-01-05,project_investment,positive,1.0,"[""低空"", ""直升机"", ""通用航空"", ""通航"", ""飞行""]",中信海直:关于设立中信海直青岛通用航空服务有限公司的公告,"青岛作为北方重要的沿海开放城市和区域经济中心城市，凭借其独特的地理
位置优势已经成为国家通用航空产业综合示范区和低空空域开放试点城市，政府
提出了一系列支持航空产业发展的扶持政策，加之空客 H135 型直升机制造项目
落户青岛，营造了良好的通航产业发展环境。",f1d550a7d87305,False,0.55,rule_baseline,pending_human_review,True
C-AN202101051447356766,AN202101051447356766,002708.SZ,光洋股份,2021-01-05,other_business,positive,0.05,[],光洋股份:关于收到部分业绩补偿款暨《和解协议》进展的公告,"股票代码：002708     股票简称：光洋股份         编号：（2021）002号

              常州光洋轴承股份有限公司

     关于收到部分业绩补偿款暨《和解协议》进展的公告

   本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚
假记载、误导性陈述或重大遗漏。",5c349c31f76c2c,True,0.55,rule_baseline,pending_human_review,False
C-AN202101041447197776,AN202101041447197776,300284.SZ,苏交科,2021-01-05,strategic_cooperation,positive,0.22999999999999998,[],苏交科:关于公司控制权整体变更的进展暨实际控制人签署《合作框架协议之补充协议》的提示性公告,"证券代码：300284      证券简称：苏交科       公告编号：2021-007



              苏交科集团股份有限公司
    关于公司控制权整体变更的进展暨实际控制人签署
       《合作框架协议之补充协议》的提示性公告


    本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚
假记载、误导性陈述或重大遗漏。",99d5c952a0d10d,True,0.55,rule_baseline,pending_human_review,False
C-AN202101041447163677,AN202101041447163677,600893.SH,航发动力,2021-01-05,market_risk,negative,0.05,[],600893:中国航发动力股份有限公司股票交易异常波动公告,"（二）重大事项情况

  经向公司控股股东中国航发西安航空发动机有限公司及公司实际控制人中
国航空发动机集团有限公司书面函证核实，截至本公告日，公司控股股东及实际


                           1
控制人没有其他任何根据有关规定应予披露而未披露的事项，包括但不限于筹划
重大资产重组、股份发行、收购、债务重组、业务重组、资产剥离、资产注入、
股份回购、股权激励、破产重整、重大业务合作、引进战略投资者等重大事项。",19889bda5b1666,False,0.55,rule_baseline,pending_human_review,False
