event_id,art_code,ts_code,name,event_date,event_type,direction,relevance_score,domain_hits,title,evidence_span,event_chain_id,is_progress_update,confidence,extraction_method,review_status,eligible_for_labeling,information_trade_date
C-AN202012311445696507,AN202012311445696507,600038.SH,中直股份,2021-01-04,project_investment,positive,1.0,"[""直升机""]",600038:中航直升机股份有限公司关于中国航空科技工业股份有限公司以发行内资股方式收购事项完成的公告,"证券代码：600038     证券简称：中直股份    公告编号:2021-001



              中航直升机股份有限公司
       关于中国航空科技工业股份有限公司
      以发行内资股方式收购事项完成的公告


   本公司董事会及全体董事保证本公告内容不存在任何虚假记载、
误导性陈述或者重大遗漏，并对其内容的真实性、准确性及完整性承
担个别及连带责任。",8db8d3b0a1db26,False,0.55,rule_baseline,pending_human_review,True,2021-01-05
C-AN202101041446940189,AN202101041446940189,000099.SZ,中信海直,2021-01-05,project_investment,positive,1.0,"[""低空"", ""直升机"", ""通用航空"", ""通航"", ""飞行""]",中信海直:关于设立中信海直青岛通用航空服务有限公司的公告,"青岛作为北方重要的沿海开放城市和区域经济中心城市，凭借其独特的地理
位置优势已经成为国家通用航空产业综合示范区和低空空域开放试点城市，政府
提出了一系列支持航空产业发展的扶持政策，加之空客 H135 型直升机制造项目
落户青岛，营造了良好的通航产业发展环境。",f1d550a7d87305,False,0.55,rule_baseline,pending_human_review,True,2021-01-06
C-AN202101121449994977,AN202101121449994977,002085.SZ,万丰奥威,2021-01-13,project_investment,positive,0.55,"[""直升机"", ""通用航空""]",万丰奥威:关于子公司飞机工业设立全资子公司的公告,"飞机工业储备了大量的通用航空研发设计人才，拥有大量以航空发动机、复合材料、
新型活塞固定翼飞机设计为特色的通用飞机研发与设计技术，拥有 8 个基本型 16 个
机型和 2 款发动机的全系列的无形资产及其相关机型生产专有技术，目前正有序引
入多款机型的制造，构建国内国外遥相呼应的产业发展格局，致力于推动中国通用
航空的发展。",3e2aedad8c52f2,False,0.55,rule_baseline,pending_human_review,True,2021-01-14
C-AN202101131450177702,AN202101131450177702,002389.SZ,航天彩虹,2021-01-13,project_investment,positive,0.5,"[""无人机""]",航天彩虹:关于收到《中国证监会行政许可项目审查一次反馈意见通知书》的公告,"证券代码：002389    证券简称：航天彩虹   公告编号：2021-002

              航天彩虹无人机股份有限公司
       关于收到《中国证监会行政许可项目审查
              一次反馈意见通知书》的公告

     本公司及董事会全体成员保证信息披露内容真实、准确和完整，

没有虚假记载、误导性陈述或重大遗漏。",9e94fead611dea,False,0.55,rule_baseline,pending_human_review,True,2021-01-14
C-AN202103241475601933,AN202103241475601933,000099.SZ,中信海直,2021-03-25,project_investment,positive,1.0,"[""机场"", ""直升机"", ""航空器"", ""通用航空"", ""通航"", ""飞行""]",中信海直:关于拟通过公开摘牌方式收购华夏九州通用航空有限公司51%股权的公告,"五、收购目的及对公司的影响
  公司本次参与华夏九州股权转让项目符合公司战略发展规划和业务发展需
求，有利于优化公司业务结构，布局江西省及周边应急救援、通航维修和培训、
PMA 件研发制造及国产民机的推广等业务，推动公司业务结构多元化转型，有助
于公司资产和收入规模扩大，以及盈利能力的持续增强。",064d07c8c3e73d,False,0.55,rule_baseline,pending_human_review,True,2021-03-26
C-AN202103281477711035,AN202103281477711035,002389.SZ,航天彩虹,2021-03-29,project_investment,positive,0.5,"[""无人机""]",航天彩虹:关于《中国证监会行政许可项目审查一次反馈意见通知书》之反馈意见回复的公告,"证券代码：002389   证券简称：航天彩虹      公告编号：2021-019

           航天彩虹无人机股份有限公司
关于《中国证监会行政许可项目审查一次反馈意见通知书》之反
               馈意见回复的公告


    本公司及董事会全体成员保证信息披露内容真实、准确和完整，

 没有虚假记载、误导性陈述或重大遗漏。",eb3dcc1931c70b,False,0.55,rule_baseline,pending_human_review,True,2021-03-30
C-AN202103311479250543,AN202103311479250543,000099.SZ,中信海直,2021-04-01,project_investment,positive,1.0,"[""无人机"", ""直升机"", ""通用航空"", ""通航""]",中信海直:关于公开摘牌方式收购华夏九州通用航空有限公司51%股权的进展公告,"证券代码：000099       证券简称：中信海直    公告编号：2021-015




              中信海洋直升机股份有限公司
      关于公开摘牌方式收购华夏九州通用航空有限公司
                     51%股权的进展公告
   本公司及董事会全体成员保证信息披露的内容真实、准确和完整，没有虚
假记载、误导性陈述或重大遗漏。",b2fe02c8a76197,True,0.55,rule_baseline,pending_human_review,True,2021-04-02
C-AN202103311479337199,AN202103311479337199,688070.SH,纵横股份,2021-04-01,legal_safety_risk,negative,0.55,"[""无人机"", ""飞行""]",688070:关于诉讼进展的公告,"一、本次诉讼的基本情况
   公司于 2020 年 6 月 17 日和 6 月 18 日收到山东省济南市中级人民法院关于
案号（2020）鲁 01 民初 2216-（2020）鲁 01 民初 2220 号共计五个诉讼案件的
《开庭传票》及《民事起诉状》等相关诉讼资料，雄安远度起诉大鹏无人机及纵
横股份未经许可，制造、销售、许诺销售侵害原告涉案专利权的产品，请求法院
判令大鹏无人机及纵横股份立即停止侵权行为，并销毁被诉侵权产品库存及专用
模具，支付涉案专利临时保护期使用费及维权合理开支合计 2,000 万元。",8898895ecd418f,True,0.55,rule_baseline,pending_human_review,True,2021-04-02
C-AN202104191486430875,AN202104191486430875,000099.SZ,中信海直,2021-04-20,strategic_cooperation,positive,0.6000000000000001,"[""低空"", ""直升机"", ""通用航空""]",中信海直:关于与自贡市人民政府签订战略合作协议的公告,"证券代码：000099   证券简称：中信海直     公告编号：2021-016




            中信海洋直升机股份有限公司
    关于与自贡市人民政府签订战略合作协议的公告


  本公司及董事会全体成员保证信息披露的内容真实、准确和完整，没有虚
假记载、误导性陈述或重大遗漏。",cd3d6b534cc0c9,False,0.55,rule_baseline,pending_human_review,True,2021-04-21
C-AN202104221487054084,AN202104221487054084,000099.SZ,中信海直,2021-04-23,project_investment,positive,1.0,"[""直升机"", ""通用航空""]",中信海直:关于公开摘牌方式收购华夏九州通用航空有限公司51%股权的进展公告,"证券代码：000099     证券简称：中信海直    公告编号：2021-019




                 中信海洋直升机股份有限公司

      关于公开摘牌方式收购华夏九州通用航空有限公司

                   51%股权的进展公告


   本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚
假记载、误导性陈述或重大遗漏。",b2fe02c8a76197,True,0.55,rule_baseline,pending_human_review,True,2021-04-26
C-AN202106071496532496,AN202106071496532496,688070.SH,纵横股份,2021-06-08,legal_safety_risk,negative,0.5,"[""无人机""]",688070:关于诉讼进展的公告,"一、本次诉讼的基本情况
  公司于 2020 年 6 月 17 日和 6 月 18 日收到山东省济南市中级人民法院关于

案号（2020）鲁 01 民初 2216-（2020）鲁 01 民初 2220 号共计五个诉讼案件的
《开庭传票》及《民事起诉状》等相关诉讼资料，雄安远度起诉大鹏无人机及纵
横股份未经许可，制造、销售、许诺销售侵害原告涉案专利权的产品，请求法院
判令大鹏无人机及纵横股份立即停止侵权行为，并销毁被诉侵权产品库存及专用
模具，支付涉案专利临时保护期使用费及维权合理开支合计 2,000 万元。",8898895ecd418f,True,0.55,rule_baseline,pending_human_review,True,2021-06-09
