event_id,document_id,event_date,title,publisher,region,policy_level,event_type,raw_event_type,direction,intensity,uncertainty,novelty,policy_tools,targets,evidence_span,confidence,evidence_match_score,evidence_grounded,accepted,review_status
L-P20210101-01,P20210101,2021-02-24,国家综合立体交通网规划纲要,中共中央 国务院,全国,central,strategic_plan,strategic_plan,positive,3,2,3,"[""规划纲要""]","[""发展低空经济""]",推进交通与装备制造等相关产业融合发展。加强交通运输与现代农业、生产制造、商贸金融等跨行业合作，发展交通运输平台经济、枢纽经济、通道经济、低空经济。,0.9,1.0,True,True,pending_human_review
L-P20210101-02,P20210101,2021-02-24,国家综合立体交通网规划纲要,中共中央 国务院,全国,central,infrastructure,infrastructure_construction,positive,3,2,3,"[""规划建设""]","[""研究布局综合性通用机场""]",研究布局综合性通用机场，疏解繁忙机场的通用航空活动，发展城市直升机运输服务，构建城市群内部快速空中交通网络。,0.9,1.0,True,True,pending_human_review
L-P20210101-03,P20210101,2021-02-24,国家综合立体交通网规划纲要,中共中央 国务院,全国,central,support_measure,technology_innovation,positive,3,2,3,"[""研发应用""]","[""推进智能化通用航空器应用""]",加强智能化载运工具和关键专用装备研发，推进智能网联汽车（智能汽车、自动驾驶、车路协同）、智能化通用航空器应用。,0.9,1.0,True,True,pending_human_review
L-P20210101-04,P20210101,2021-02-24,国家综合立体交通网规划纲要,中共中央 国务院,全国,central,strategic_plan,industry_development,positive,2,2,2,"[""支持发展""]","[""支持国产航空装备产业化商业化""]",支持交通装备制造业延伸服务链条，促进现代装备在交通运输领域应用，带动国产航空装备的产业化、商业化应用，强化交通运输与现代装备制造业的相互支撑。,0.8,1.0,True,True,pending_human_review
L-P20210101-05,P20210101,2021-02-24,国家综合立体交通网规划纲要,中共中央 国务院,西部地区,central,infrastructure,infrastructure_construction,positive,2,2,2,"[""完善设施""]","[""发展通用航空，改善偏远地区居民出行条件""]",优化枢纽布局，完善枢纽体系，发展通用航空，改善偏远地区居民出行条件。,0.8,1.0,True,True,pending_human_review
L-P20210101-06,P20210101,2021-02-24,国家综合立体交通网规划纲要,中共中央 国务院,全国,central,regulation,regulatory_reform,positive,2,3,2,"[""改革""]","[""深化国家空管体制改革""]",推进铁路行业竞争性环节市场化改革，深化国家空管体制改革，实现邮政普遍服务业务与竞争性业务分业经营。,0.7,1.0,True,True,pending_human_review
L-P20210101-07,P20210101,2021-02-24,国家综合立体交通网规划纲要,中共中央 国务院,全国,central,infrastructure,infrastructure_construction,positive,2,2,2,"[""建设""]","[""推进通用航空与旅游融合发展""]",完善公路沿线、服务区、客运枢纽、邮轮游轮游艇码头等旅游服务设施功能，支持红色旅游、乡村旅游、度假休闲旅游、自驾游等相关交通基础设施建设，推进通用航空与旅游融合发展。,0.8,1.0,True,True,pending_human_review
L-P20210101-08,P20210101,2021-02-24,国家综合立体交通网规划纲要,中共中央 国务院,全国,central,strategic_plan,strategic_plan,positive,2,2,2,"[""规划""]","[""统筹考虑新型运输方式探索应用""]",统筹考虑多种运输方式规划建设协同和新型运输方式探索应用，实现陆水空多种运输方式相互协同、深度融合。,0.8,1.0,True,True,pending_human_review
L-P20230601-01,P20230601,2023-06-28,无人驾驶航空器飞行管理暂行条例,国务院 中央军委,全国,central,regulation,strategic_plan,positive,3,2,3,"[""regulation""]","[""规范无人驾驶航空器飞行以及有关活动"", ""促进无人驾驶航空器产业健康有序发展"", ""维护航空安全、公共安全、国家安全""]",为了规范无人驾驶航空器飞行以及有关活动，促进无人驾驶航空器产业健康有序发展，维护航空安全、公共安全、国家安全，制定本条例。,0.95,1.0,True,True,pending_human_review
L-P20230601-02,P20230601,2023-06-28,无人驾驶航空器飞行管理暂行条例,国务院 中央军委,全国,central,infrastructure,infrastructure_construction,positive,3,2,3,"[""platform_construction""]","[""建设无人驾驶航空器一体化综合监管服务平台""]",国家空中交通管理领导机构统筹建设无人驾驶航空器一体化综合监管服务平台，对全国无人驾驶航空器实施动态监管与服务。,0.95,1.0,True,True,pending_human_review
L-P20230601-03,P20230601,2023-06-28,无人驾驶航空器飞行管理暂行条例,国务院 中央军委,全国,central,airspace_reform,airspace_management,positive,3,2,3,"[""airspace_delineation""]","[""划设无人驾驶航空器管制空域"", ""明确适飞空域""]",国家根据需要划设无人驾驶航空器管制空域（以下简称管制空域）。真高120米以上空域，空中禁区、空中限制区以及周边空域，军用航空超低空飞行空域，以及下列区域上方的空域应当划设为管制空域：,0.95,1.0,True,True,pending_human_review
