news_id,published_at,title,summary,media_name,url,article_type,source,fetched_at,content_hash,positive_terms,negative_terms,uncertain_terms,information_trade_date
N-202604163707073210,2026-04-16 09:59:41,中国太保“智飞蓝匣”模式护航低空经济发展,未来，中国太保将持续携手更多战略合作伙伴，深化低空物流、应急救援、城市治理等场景的综合保障服务，以“小切口”撬动低空经济“大治理”，为低空经济这一新兴支柱产业高质量发展贡献“太保方案”。,新华财经,http://finance.eastmoney.com/a/202604163707073210.html,fundamental_event,eastmoney_search,2026-06-15T14:24:38.363630+00:00,4b5ce2a89fbfc2a2da08ce29048393a65bedf711b8b4f242e6d0939309ae2ca5,0,0,0,2026-04-17
N-202604163707913161,2026-04-16 23:41:00,边界智控获超亿元B轮融资 国资加注低空经济“大脑”,国资加码低空经济 4月15日，国务院国资委召开中央企业低空经济产业发展专题推进会。会议要求，国资央企要在严控风险、确保安全的前提下，坚持因地制宜、稳妥有序推动低空经济高质量发展。要强化统筹推动，加强规划引领，加大投资力度，当好发展低空经济的长期资本、战略资本、耐心资本。,上海证券报·中国证券网,http://finance.eastmoney.com/a/202604163707913161.html,fundamental_event,eastmoney_search,2026-06-15T14:24:38.363630+00:00,1dece812849cb9c10755b419ef12f6d173dedf4bbcc4c080bd6e9fc674293ccf,0,1,0,2026-04-17
N-202604173707907076,2026-04-17 01:27:58,国务院国资委：推动央企在低空经济领域实现更好发展,4月16日，国务院国资委发布消息称，国务院国资委于4月15日召开中央企业低空经济产业发展专题推进会，进一步研究谋划中央企业发展低空经济的工作思路和具体举措，推动中央企业在低空经济领域实现更好发展、发挥更大作用，为现代化产业体系建设提供更加有力支撑。,证券日报,http://finance.eastmoney.com/a/202604173707907076.html,industry_commentary,eastmoney_search,2026-06-15T14:24:38.363630+00:00,b799e13a03c3fd50a35cdbfa163fc45c73067e32d01e830763c35fb1c6362f01,0,0,0,2026-04-20
N-202604173708665441,2026-04-17 03:42:34,广交会无人机展现低空经济创新实力,从摄影“天眼”到应急装备、巡检神器，新技术、新场景涌现，展现出我国低空经济的创新实力。图为境外采购商在广交会观看植保无人机产品。新华社记者邓华摄,经济参考报,http://biz.eastmoney.com/a/202604173708665441.html,industry_commentary,eastmoney_search,2026-06-15T14:24:38.052118+00:00,46c91c59dc476e6346c1b1428a6803350d60776e938a2a93125fa75863efee42,2,0,0,2026-04-20
N-202604173707975029,2026-04-17 07:48:00,国务院国资委：加快打造低空经济产业集群,去年6月，中国电科在南京举行低空经济发展大会，发布“天行、天卫、天工”三大产品体系，启动中国电科低空经济同心圆计划三大专项行动。,中国证券报,http://finance.eastmoney.com/a/202604173707975029.html,industry_commentary,eastmoney_search,2026-06-15T14:24:38.362615+00:00,53c2daa7bca600a2ce6eb130d88401b4d11da7af2756207138bf69bc23fde9f9,0,0,1,2026-04-20
N-202604173708378360,2026-04-17 08:07:24,记者观察 | 让低空经济 飞得更稳些,近日，四川沃飞长空科技股份有限公司正式启动科创板IPO辅导，拟冲击A股“低空经济第一股”，为本就炽热的低空经济赛道再添一把火。 从首次写入政府工作报告至今，短短三年间，低空经济的定位完成了从“新增长引擎”到“新兴支柱产业”的跨越。,上海证券报·中国证券网,http://finance.eastmoney.com/a/202604173708378360.html,industry_commentary,eastmoney_search,2026-06-15T14:24:38.051110+00:00,ff64c02d5227095f9e0f5e13d6ea3c8bf6d749b7693ad7bb7620ce6e3e854a1c,1,0,1,2026-04-20
N-202604173708394363,2026-04-17 08:36:00,机构：低空经济产业链规模化发展态势清晰,西南证券认为，国家“十五五”规划建议加快航空航天、低空经济产业发展。国家战略聚焦低空经济新赛道，各地相继出台低空经济发展纲领性政策，国资央企密集成立低空经济公司。从应用场景来看，低空物流、低空文旅等应用场景先行。,证券时报网,http://finance.eastmoney.com/a/202604173708394363.html,fundamental_event,eastmoney_search,2026-06-15T14:24:38.051110+00:00,ef26bdd4fb6b5d8128cacae257542b7ac186519ecff731cd1f09797a276ef10c,0,0,0,2026-04-20
N-202604173708651435,2026-04-17 09:51:00,年内低空经济投融资规模近170亿元,政策端持续发力，为低空经济“高飞”有效护航。 IT桔子数据显示，截至4月16日，年内低空经济领域已发生投融资事件91起，金额共计168.21亿元；2025年全年，低空经济领域共发生投融资事件292起，金额共计253.32亿元。,证券日报,http://finance.eastmoney.com/a/202604173708651435.html,fundamental_event,eastmoney_search,2026-06-15T14:24:38.051110+00:00,889beed9df44f5a45a11c6d99a2075359888552a80efe97a860948896b9ffbe7,0,0,0,2026-04-20
N-202604173708856350,2026-04-17 15:00:27,国家发展改革委：五方面推动低空经济发展,新华财经北京4月17日电（记者陆宇航）国家发展改革委低空经济发展司司长郑剑17日在国新办新闻发布会上表示，将重点做好五方面工作，推动低空经济实现“管得好、飞得稳、用得活”。 首先是以安全为“前提”。,新华财经,http://finance.eastmoney.com/a/202604173708856350.html,industry_commentary,eastmoney_search,2026-06-15T14:24:38.051110+00:00,6e00042d5e3c502b03663e87ed9ea8278f58647562eef5caaa60c8dbc6d10c60,0,0,0,2026-04-20
N-202604173708891671,2026-04-17 15:36:55,国家发改委：低空经济将打造成支柱产业，“扫码飞”有望推广,国家发改委低空经济发展司司长郑剑表示，“十五五”期间将把低空经济作为新兴支柱产业进行打造，坚持以健康有序为主题、以改革创新为主线，推动低空经济实现“管得好、飞得稳、用得活”。,广州日报,http://finance.eastmoney.com/a/202604173708891671.html,industry_commentary,eastmoney_search,2026-06-15T14:24:38.363630+00:00,992e3b1657a3711627722574a9a4349f0dcf8060e7e331feb9f69c151e414778,1,0,1,2026-04-20
