event_id,art_code,ts_code,name,event_date,title,event_type,direction,intensity,uncertainty,relevance,is_initial_event,event_chain_key,evidence_span,confidence,evidence_match_score,evidence_grounded,rule_event_type,rule_relevance,accepted,review_status,label_source
C-AN202012311445696507,AN202012311445696507,600038.SH,中直股份,2021-01-04,600038:中航直升机股份有限公司关于中国航空科技工业股份有限公司以发行内资股方式收购事项完成的公告,other_business,neutral,1,1,0.0,False,中航科工收购中直股份股权完成,"""本次收购的交割及内资股发行已完成……中航科工间接增持本公司16.03%股份，合计直接和间接持有本公司50.80%股份""",0.9,1.0,True,project_investment,1.0,False,adjudicated_sample,codex_assisted_adjudication
C-AN202101041446940189,AN202101041446940189,000099.SZ,中信海直,2021-01-05,中信海直:关于设立中信海直青岛通用航空服务有限公司的公告,project_investment,positive,3,2,0.8,True,设立青岛通航子公司,"""设立中信海直青岛通用航空服务有限公司，注册资本1000万元……公司董事会已审议通过""",0.9,1.0,True,project_investment,1.0,True,adjudicated_sample,codex_assisted_adjudication
C-AN202101121449994977,AN202101121449994977,002085.SZ,万丰奥威,2021-01-13,万丰奥威:关于子公司飞机工业设立全资子公司的公告,project_investment,positive,3,2,0.9,True,子公司飞机工业设立全资子公司,飞机工业拟在浙江新昌投资设立全资子公司,0.9,0.9103448275862068,True,project_investment,0.55,True,adjudicated_sample,independent_annotator_consensus
C-AN202101131450177702,AN202101131450177702,002389.SZ,航天彩虹,2021-01-13,航天彩虹:关于收到《中国证监会行政许可项目审查一次反馈意见通知书》的公告,other_business,neutral,1,5,0.0,True,非公开发行股票反馈意见,公司本次非公开发行A股股票事项尚需获得中国证监会核准，能否获得核准尚存在不确定性。,0.9,1.0,True,project_investment,0.5,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202103241475601933,AN202103241475601933,000099.SZ,中信海直,2021-03-25,中信海直:关于拟通过公开摘牌方式收购华夏九州通用航空有限公司51%股权的公告,project_investment,positive,3,4,0.8,True,收购华夏九州通用航空51%股权,公司拟通过公开摘牌方式受让该挂牌股权,0.9,1.0,True,project_investment,1.0,True,adjudicated_sample,independent_annotator_consensus
C-AN202103281477711035,AN202103281477711035,002389.SZ,航天彩虹,2021-03-29,航天彩虹:关于《中国证监会行政许可项目审查一次反馈意见通知书》之反馈意见回复的公告,other_business,neutral,1,5,0.0,True,非公开发行股票反馈意见回复,公司本次非公开发行A股股票事项尚需获得中国证监会核准，能否获得核准尚存在不确定性。,0.9,1.0,True,project_investment,0.5,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202103311479250543,AN202103311479250543,000099.SZ,中信海直,2021-04-01,中信海直:关于公开摘牌方式收购华夏九州通用航空有限公司51%股权的进展公告,project_investment,positive,4,2,0.8,False,收购华夏九州51%股权,同日公 司与江西长运、南昌高航签署了《产权交易合同》,0.9,1.0,True,project_investment,1.0,True,adjudicated_sample,independent_annotator_consensus
C-AN202103311479337199,AN202103311479337199,688070.SH,纵横股份,2021-04-01,688070:关于诉讼进展的公告,legal_risk,mixed,3,4,0.5,False,雄安远度专利侵权诉讼,"""原告河北雄安远度科技有限公司提起上诉五个案件，其中已撤诉四个案件，剩余一个案件处于一审审理中""",0.9,1.0,True,legal_safety_risk,0.55,True,adjudicated_sample,codex_assisted_adjudication
C-AN202104191486430875,AN202104191486430875,000099.SZ,中信海直,2021-04-20,中信海直:关于与自贡市人民政府签订战略合作协议的公告,strategic_cooperation,positive,3,4,0.8,True,与自贡市政府战略合作,"""本次签署的《战略合作协议》属框架性协议……对于合作的具体事项需另行协商，签订专项协议后进行""",0.9,1.0,True,strategic_cooperation,0.6000000000000001,True,adjudicated_sample,codex_assisted_adjudication
C-AN202104221487054084,AN202104221487054084,000099.SZ,中信海直,2021-04-23,中信海直:关于公开摘牌方式收购华夏九州通用航空有限公司51%股权的进展公告,other_business,neutral,1,1,0.0,False,收购华夏九州通用航空有限公司51%股权,公司通过公开摘牌方式收购华夏九州通用航空有限公司51%股权的工商变更备案登记手续已于2021年4月21日办理完毕。,0.9,1.0,True,project_investment,1.0,False,not_human_reviewed,deepseek_evidence_filtered
